loss,accuracy,val_loss,val_accuracy
0.4672,0.7596,0.3998,0.7991
0.433,0.8055,0.3655,0.8233
0.376,0.8273,0.3515,0.8305
0.368,0.828,0.3379,0.8314
0.3641,0.8312,0.3277,0.8475
0.3457,0.8408,0.3156,0.8592
0.3468,0.8375,0.3054,0.8583
0.3431,0.8403,0.3062,0.8673
0.3464,0.8402,0.3072,0.8592
0.336,0.8457,0.3047,0.8601
0.3312,0.8458,0.3032,0.8619
0.3363,0.8427,0.3019,0.87
0.3338,0.8477,0.3004,0.8664
0.3277,0.8495,0.3001,0.8664
0.3343,0.8486,0.2986,0.8717
0.3319,0.8424,0.2992,0.8655
0.3378,0.8424,0.2981,0.8682
0.336,0.8461,0.2988,0.8673
0.3383,0.8418,0.2981,0.8726
0.334,0.8444,0.2977,0.8709
0.3283,0.8458,0.2975,0.8717
0.3318,0.8458,0.2978,0.8709
0.3318,0.8466,0.2972,0.8709
0.3276,0.854,0.2969,0.8717
0.3306,0.848,0.2971,0.8726
