loss,accuracy,val_loss,val_accuracy
0.3906,0.806,0.3252,0.8547
0.3102,0.8695,0.2948,0.8691
0.2773,0.8872,0.2733,0.8861
0.2529,0.9006,0.2632,0.8834
0.2369,0.9104,0.2631,0.8735
0.224,0.9124,0.2363,0.8969
0.2131,0.9187,0.2355,0.9004
0.2034,0.9233,0.2294,0.8996
0.1948,0.9274,0.2248,0.9004
0.1875,0.9293,0.2258,0.9067
0.1817,0.9314,0.2148,0.9076
0.1755,0.9381,0.2117,0.9103
0.1719,0.9365,0.2128,0.9049
0.1664,0.9388,0.2302,0.8924
0.1579,0.9435,0.207,0.9139
0.1561,0.9467,0.2081,0.9094
0.156,0.9447,0.2081,0.9085
0.1535,0.948,0.2075,0.913
